,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,clusters,cluster
0,51,1,36,0,51,0,yellow
1,41,1,5,1,41,0,yellow
2,66,1,39,2,66,0,yellow
3,34,1,34,0,20,0,yellow
4,22,0,22,0,6,0,yellow
5,54,1,14,11,54,0,yellow
6,62,1,35,3,62,0,yellow
7,64,1,29,7,64,0,yellow
8,54,1,41,1,54,0,yellow
9,142,3,89,9,142,1,red
10,68,2,68,1,58,0,yellow
11,41,1,24,6,41,0,yellow
12,158,3,139,1,158,1,red
13,158,1,50,1,158,1,red
14,83,1,46,0,83,0,yellow
15,59,1,30,4,59,0,yellow
16,154,3,100,2,154,1,red
17,55,1,47,0,55,0,yellow
18,72,1,4,23,72,0,yellow
19,161,2,71,0,161,1,red
20,28,1,28,2,28,0,yellow
21,118,2,30,2,118,1,red
22,33,0,10,1,33,0,yellow
23,150,3,95,6,150,1,red
24,154,5,0,13,154,1,red
25,81,1,24,1,81,0,yellow
26,67,1,16,2,67,0,yellow
27,62,1,37,1,62,0,yellow
28,31,1,31,0,17,0,yellow
29,56,1,35,0,56,0,yellow
30,77,2,22,15,77,0,yellow
31,44,1,15,0,44,0,yellow
32,30,1,9,2,30,0,yellow
33,30,1,30,1,15,0,yellow
34,79,3,18,5,79,0,yellow
35,34,1,19,7,34,0,yellow
36,51,1,20,5,51,0,yellow
37,77,1,34,0,77,0,yellow
38,61,1,32,3,61,0,yellow
39,32,1,7,2,32,0,yellow
40,64,3,64,4,64,0,yellow
41,29,0,29,0,25,0,yellow
42,51,1,23,0,51,0,yellow
43,247,3,162,1,247,1,red
44,45,1,32,7,45,0,yellow
45,36,1,25,3,36,0,yellow
46,81,2,81,4,56,0,yellow
47,124,2,15,5,124,1,red
48,72,1,26,2,72,0,yellow
49,55,0,32,1,55,0,yellow
50,31,0,31,0,25,0,yellow
51,157,1,89,0,157,1,red
52,60,1,31,1,60,0,yellow
53,153,1,40,0,153,1,red
54,22,0,19,0,22,0,yellow
55,30,1,17,0,30,0,yellow
56,44,1,34,0,44,0,yellow
57,47,1,37,4,47,0,yellow
58,37,0,32,2,37,0,yellow
59,44,1,14,8,44,0,yellow
60,58,2,14,24,58,0,yellow
61,37,0,33,0,37,0,yellow
62,89,3,3,6,89,0,yellow
63,52,2,38,7,52,0,yellow
64,59,2,16,0,59,0,yellow
65,51,1,25,6,51,0,yellow
66,66,1,26,1,66,0,yellow
67,38,1,38,0,13,0,yellow
68,34,1,30,7,34,0,yellow
69,88,2,11,20,88,0,yellow
70,54,1,31,3,54,0,yellow
71,44,1,28,3,44,0,yellow
72,51,1,26,6,51,0,yellow
73,67,2,15,23,67,0,yellow
74,42,1,5,2,42,0,yellow
75,189,2,99,1,189,1,red
76,49,1,25,3,49,0,yellow
77,203,5,203,5,151,1,red
78,35,0,32,0,35,0,yellow
79,90,1,25,2,90,0,yellow
80,67,1,26,1,67,0,yellow
81,36,0,34,1,36,0,yellow
82,48,1,28,4,48,0,yellow
83,41,1,28,10,41,0,yellow
84,19,0,19,1,17,0,yellow
85,73,1,43,0,73,0,yellow
86,45,0,18,1,45,0,yellow
87,170,1,43,0,170,1,red
88,47,1,47,1,36,0,yellow
89,155,3,82,1,155,1,red
90,46,1,9,1,46,0,yellow
91,172,5,2,11,172,1,red
92,64,1,15,2,64,0,yellow
93,44,1,44,1,38,0,yellow
94,150,3,150,1,105,1,red
95,142,4,113,9,142,1,red
96,21,0,13,0,21,0,yellow
97,47,1,42,0,47,0,yellow
98,48,1,48,1,29,0,yellow
99,54,1,20,0,54,0,yellow
100,60,1,44,3,60,0,yellow
101,166,4,8,19,166,1,red
102,27,0,23,1,27,0,yellow
103,23,1,7,1,23,0,yellow
104,31,1,13,0,31,0,yellow
105,88,3,13,9,88,0,yellow
106,90,2,22,9,90,0,yellow
107,28,1,15,0,28,0,yellow
108,51,1,38,0,51,0,yellow
109,170,1,38,0,170,1,red
110,22,0,9,1,22,0,yellow
111,168,4,168,1,156,1,red
112,40,1,40,0,32,0,yellow
113,47,1,27,2,47,0,yellow
114,59,1,32,0,59,0,yellow
115,133,4,23,3,133,1,red
116,29,1,29,1,7,0,yellow
117,73,2,2,8,73,0,yellow
118,50,0,24,0,50,0,yellow
119,25,0,9,1,25,0,yellow
120,90,3,18,2,90,0,yellow
121,81,2,26,3,81,0,yellow
122,29,0,20,1,29,0,yellow
123,21,0,8,1,21,0,yellow
124,44,1,16,1,44,0,yellow
125,65,1,12,0,65,0,yellow
126,66,2,7,6,66,0,yellow
127,53,1,28,10,53,0,yellow
128,56,0,23,0,56,0,yellow
129,57,1,26,3,57,0,yellow
130,62,0,35,0,62,0,yellow
131,167,4,167,1,107,1,red
132,49,1,27,4,49,0,yellow
133,55,2,25,11,55,0,yellow
134,34,1,34,0,32,0,yellow
135,80,1,25,0,80,0,yellow
136,163,2,92,0,163,1,red
137,126,4,3,36,126,1,red
138,63,2,9,22,63,0,yellow
139,53,2,27,10,53,0,yellow
140,86,2,38,10,86,0,yellow
141,47,2,47,0,25,0,yellow
142,78,2,25,7,78,0,yellow
143,61,2,61,0,54,0,yellow
144,112,2,44,4,112,1,red
145,27,0,6,1,27,0,yellow
146,155,3,155,2,151,1,red
147,121,4,24,0,121,1,red
148,160,3,138,5,160,1,red
149,144,4,109,9,144,1,red
150,69,2,48,0,69,0,yellow
151,47,1,34,3,47,0,yellow
152,69,1,34,4,69,0,yellow
153,84,3,9,24,84,0,yellow
154,64,1,32,6,64,0,yellow
155,20,1,20,1,10,0,yellow
156,38,1,30,3,38,0,yellow
157,59,1,27,3,59,0,yellow
158,67,1,30,5,67,0,yellow
159,75,2,13,16,75,0,yellow
160,60,2,18,21,60,0,yellow
161,22,1,13,0,22,0,yellow
162,36,1,36,0,25,0,yellow
163,41,1,30,8,41,0,yellow
164,44,1,28,2,44,0,yellow
165,29,1,26,1,29,0,yellow
166,168,3,168,5,99,1,red
167,25,1,25,3,23,0,yellow
168,41,1,26,4,41,0,yellow
169,36,0,33,1,36,0,yellow
170,59,2,12,0,59,0,yellow
171,98,0,17,0,98,0,yellow
172,35,0,33,2,35,0,yellow
173,29,0,29,0,13,0,yellow
174,51,1,29,3,51,0,yellow
175,103,4,9,6,103,0,yellow
176,35,1,35,0,17,0,yellow
177,35,1,30,4,35,0,yellow
178,27,0,27,2,21,0,yellow
179,48,1,39,1,48,0,yellow
180,307,1,45,0,307,2,black
181,54,1,25,0,54,0,yellow
182,61,2,26,16,61,0,yellow
183,36,1,36,1,30,0,yellow
184,42,1,42,2,37,0,yellow
185,42,0,32,1,42,0,yellow
186,151,4,45,4,151,1,red
187,102,1,23,0,102,0,yellow
188,115,3,24,2,115,1,red
189,64,1,53,1,64,0,yellow
190,40,1,30,2,40,0,yellow
191,45,1,45,0,38,0,yellow
192,65,1,34,0,65,0,yellow
193,17,1,13,0,17,0,yellow
194,52,1,39,1,52,0,yellow
195,69,1,69,1,60,0,yellow
196,44,1,33,1,44,0,yellow
197,50,1,41,1,50,0,yellow
198,72,1,42,1,72,0,yellow
199,49,1,49,1,32,0,yellow
200,127,2,65,1,127,1,red
201,125,2,125,1,82,1,red
202,41,1,25,1,41,0,yellow
203,52,1,34,3,52,0,yellow
204,47,1,47,1,44,0,yellow
205,36,1,36,3,34,0,yellow
206,155,1,39,0,155,1,red
207,37,1,19,0,37,0,yellow
208,46,1,27,1,46,0,yellow
209,69,1,42,0,69,0,yellow
210,64,1,18,12,64,0,yellow
211,92,2,52,8,92,0,yellow
212,58,1,43,3,58,0,yellow
213,41,1,41,0,38,0,yellow
214,35,1,20,0,35,0,yellow
215,88,2,53,1,88,0,yellow
216,45,0,45,0,43,0,yellow
217,102,1,38,0,102,0,yellow
218,58,1,24,7,58,0,yellow
219,143,2,35,5,143,1,red
220,187,2,36,8,187,1,red
221,35,1,35,0,17,0,yellow
222,48,1,35,1,48,0,yellow
223,58,1,29,6,58,0,yellow
224,65,1,27,8,65,0,yellow
225,73,2,66,0,73,0,yellow
226,160,4,36,13,160,1,red
227,98,3,33,9,98,0,yellow
228,156,4,45,10,156,1,red
229,75,2,9,6,75,0,yellow
230,163,4,8,18,163,1,red
231,35,1,35,0,21,0,yellow
232,30,0,30,2,29,0,yellow
233,47,1,21,2,47,0,yellow
234,69,1,37,4,69,0,yellow
235,105,4,15,4,105,0,yellow
236,189,2,9,15,189,1,red
237,64,2,37,8,64,0,yellow
238,54,1,32,5,54,0,yellow
239,198,4,198,3,188,1,red
240,139,7,13,5,139,1,red
241,55,1,26,3,55,0,yellow
242,145,1,46,0,145,1,red
243,80,1,18,10,80,0,yellow
244,50,1,36,1,50,0,yellow
245,35,1,25,3,35,0,yellow
246,55,1,27,0,55,0,yellow
247,13,1,12,1,13,0,yellow
248,48,1,23,3,48,0,yellow
249,28,0,28,0,13,0,yellow
250,50,1,29,3,50,0,yellow
251,26,0,26,0,20,0,yellow
252,107,2,107,5,86,1,red
253,22,0,22,0,20,0,yellow
254,76,3,7,25,76,0,yellow
255,47,1,32,0,47,0,yellow
256,104,2,14,1,104,0,yellow
257,60,1,16,5,60,0,yellow
258,32,1,3,2,32,0,yellow
259,28,1,28,1,15,0,yellow
260,34,0,28,2,34,0,yellow
261,28,1,28,1,19,0,yellow
262,48,1,35,0,48,0,yellow
263,39,1,29,1,39,0,yellow
264,97,1,14,0,97,0,yellow
265,75,1,37,0,75,0,yellow
266,194,1,44,0,194,1,red
267,104,3,5,10,104,0,yellow
268,57,1,40,3,57,0,yellow
269,41,1,41,3,27,0,yellow
270,37,1,16,7,37,0,yellow
271,59,1,34,0,59,0,yellow
272,29,1,29,2,20,0,yellow
273,34,0,34,1,26,0,yellow
274,70,1,41,0,70,0,yellow
275,32,0,30,1,32,0,yellow
276,500,1,38,1,466,2,black
277,380,31,1,26,380,2,black
278,222,12,5,14,222,1,red
279,52,0,28,0,52,0,yellow
280,76,1,39,0,76,0,yellow
281,27,0,23,0,27,0,yellow
282,59,1,26,2,59,0,yellow
283,38,0,28,2,38,0,yellow
284,56,1,23,6,56,0,yellow
285,127,1,18,0,127,1,red
286,117,1,117,1,78,1,red
287,92,2,57,1,92,0,yellow
288,182,5,170,5,182,1,red
289,124,2,32,7,124,1,red
290,68,2,68,6,57,0,yellow
291,68,1,26,0,68,0,yellow
292,39,1,4,2,39,0,yellow
293,50,1,33,0,50,0,yellow
294,103,1,33,6,103,0,yellow
295,38,1,36,5,38,0,yellow
296,61,1,38,1,61,0,yellow
297,17,0,17,1,17,0,yellow
298,21,0,4,0,21,0,yellow
299,32,1,32,1,20,0,yellow
300,151,3,119,1,151,1,red
301,57,1,32,0,57,0,yellow
302,38,1,38,0,35,0,yellow
303,49,1,40,0,49,0,yellow
304,171,1,42,0,171,1,red
305,91,1,28,1,91,0,yellow
306,72,2,4,5,72,0,yellow
307,153,2,22,6,153,1,red
308,59,1,25,2,59,0,yellow
309,157,0,31,1,157,1,red
310,73,1,32,2,73,0,yellow
311,71,2,3,6,71,0,yellow
312,17,0,17,0,11,0,yellow
313,46,1,2,0,46,0,yellow
314,35,1,12,9,35,0,yellow
315,24,0,24,1,16,0,yellow
316,45,1,14,2,45,0,yellow
317,61,1,40,0,61,0,yellow
318,65,1,12,6,65,0,yellow
319,112,1,34,4,112,1,red
320,19,0,19,0,11,0,yellow
321,31,0,31,2,22,0,yellow
322,152,4,4,19,152,1,red
323,31,1,21,1,31,0,yellow
324,37,1,12,1,37,0,yellow
325,13,1,12,0,13,0,yellow
326,41,1,8,3,41,0,yellow
327,103,2,28,9,103,0,yellow
328,52,1,35,0,52,0,yellow
329,30,0,30,2,13,0,yellow
330,73,0,25,0,73,0,yellow
331,42,1,2,4,42,0,yellow
332,35,0,35,0,30,0,yellow
333,46,1,25,5,46,0,yellow
334,93,1,27,4,93,0,yellow
335,63,2,13,0,63,0,yellow
336,160,0,39,0,160,1,red
337,39,1,26,1,39,0,yellow
338,56,1,18,6,56,0,yellow
339,105,2,13,2,105,0,yellow
340,93,2,90,1,93,0,yellow
341,45,0,22,0,45,0,yellow
342,54,1,8,1,54,0,yellow
343,36,0,29,2,36,0,yellow
344,50,1,35,5,50,0,yellow
345,153,1,34,0,153,1,red
346,48,1,36,5,48,0,yellow
347,24,0,24,0,24,0,yellow
348,132,3,44,4,132,1,red
349,179,3,179,2,166,1,red
350,124,1,36,1,124,1,red
351,202,0,34,0,202,1,red
352,151,1,26,1,151,1,red
353,92,2,45,0,92,0,yellow
354,39,1,5,0,39,0,yellow
355,48,1,39,1,48,0,yellow
356,52,2,17,0,52,0,yellow
357,104,1,16,2,104,0,yellow
358,51,1,27,1,51,0,yellow
359,91,1,49,0,91,0,yellow
360,167,1,32,0,167,1,red
361,38,0,20,0,38,0,yellow
362,57,0,25,0,57,0,yellow
363,41,1,27,5,41,0,yellow
364,78,1,11,12,78,0,yellow
365,47,1,46,2,47,0,yellow
366,29,0,29,3,18,0,yellow
367,60,1,34,1,60,0,yellow
368,37,1,32,3,37,0,yellow
369,61,2,2,9,61,0,yellow
370,67,2,20,5,67,0,yellow
371,46,1,17,2,46,0,yellow
372,79,2,13,27,79,0,yellow
373,53,1,24,9,53,0,yellow
374,81,1,18,0,81,0,yellow
375,39,1,38,2,39,0,yellow
376,34,1,34,2,27,0,yellow
377,42,1,41,0,42,0,yellow
378,41,2,36,5,41,0,yellow
379,47,1,36,0,47,0,yellow
380,32,1,27,4,32,0,yellow
381,25,0,6,1,25,0,yellow
382,35,1,35,0,15,0,yellow
383,36,1,26,3,36,0,yellow
384,73,2,26,7,73,0,yellow
385,52,1,22,11,52,0,yellow
386,35,1,32,1,35,0,yellow
387,94,3,9,11,94,0,yellow
388,71,3,18,0,71,0,yellow
389,61,2,3,5,61,0,yellow
390,80,2,22,1,80,0,yellow
391,101,1,60,0,101,1,red
392,48,1,45,0,48,0,yellow
393,156,1,33,0,156,1,red
394,30,0,28,0,30,0,yellow
395,27,0,27,0,10,0,yellow
396,57,0,30,0,57,0,yellow
397,55,1,20,0,55,0,yellow
398,54,1,35,0,54,0,yellow
399,69,1,45,4,69,0,yellow
400,76,3,32,2,76,0,yellow
401,74,3,29,2,74,0,yellow
402,36,1,2,0,36,0,yellow
403,51,1,7,4,51,0,yellow
404,41,1,18,1,41,0,yellow
405,56,1,44,4,56,0,yellow
406,58,1,43,5,58,0,yellow
407,45,1,32,7,45,0,yellow
408,50,1,41,0,50,0,yellow
409,68,0,24,0,68,0,yellow
410,46,1,46,2,31,0,yellow
411,67,1,44,2,67,0,yellow
412,77,3,7,8,77,0,yellow
413,63,1,33,1,63,0,yellow
414,42,0,19,0,42,0,yellow
415,59,1,27,0,59,0,yellow
416,35,0,17,0,35,0,yellow
417,444,2,111,1,391,2,black
418,60,2,60,3,55,0,yellow
419,48,1,48,0,12,0,yellow
420,32,1,32,0,26,0,yellow
421,56,0,32,1,56,0,yellow
422,32,1,32,1,30,0,yellow
423,29,0,29,2,29,0,yellow
424,28,0,19,0,28,0,yellow
425,34,1,25,2,34,0,yellow
426,18,0,8,0,18,0,yellow
427,68,1,32,1,68,0,yellow
428,89,1,22,1,89,0,yellow
429,208,3,152,1,208,1,red
430,58,2,29,12,58,0,yellow
431,53,1,40,6,53,0,yellow
432,35,1,35,3,34,0,yellow
433,37,1,25,2,37,0,yellow
434,35,1,32,3,35,0,yellow
435,39,1,25,2,39,0,yellow
436,122,1,49,0,122,1,red
437,40,1,40,2,34,0,yellow
438,58,0,32,1,58,0,yellow
439,303,1,48,0,260,1,red
440,30,0,16,1,30,0,yellow
441,193,0,38,0,193,1,red
442,36,1,36,0,30,0,yellow
443,49,1,30,0,49,0,yellow
444,32,1,14,1,32,0,yellow
445,28,1,22,4,28,0,yellow
446,21,1,21,1,13,0,yellow
447,63,2,40,0,63,0,yellow
448,30,1,1,0,30,0,yellow
449,32,1,30,1,32,0,yellow
450,48,1,5,4,48,0,yellow
451,80,1,62,4,80,0,yellow
452,182,14,1,23,182,1,red
453,356,1,60,0,284,2,black
454,62,1,44,5,62,0,yellow
455,191,2,133,2,191,1,red
456,150,1,41,0,150,1,red
457,53,0,27,0,53,0,yellow
458,226,1,48,1,226,1,red
459,16,0,12,0,16,0,yellow
460,34,1,34,1,17,0,yellow
461,30,1,27,2,30,0,yellow
462,55,2,26,12,55,0,yellow
463,73,1,20,1,73,0,yellow
464,46,1,46,0,14,0,yellow
465,48,1,16,0,48,0,yellow
466,103,1,25,1,103,0,yellow
467,46,0,30,2,46,0,yellow
468,43,1,43,2,39,0,yellow
469,52,1,44,4,52,0,yellow
470,500,1,40,0,464,2,black
471,36,0,16,0,36,0,yellow
472,39,0,39,0,23,0,yellow
473,58,1,25,9,58,0,yellow
474,24,0,7,1,24,0,yellow
475,52,1,4,3,52,0,yellow
476,56,1,21,6,56,0,yellow
477,76,2,15,17,76,0,yellow
478,95,3,23,8,95,0,yellow
479,25,1,3,0,25,0,yellow
480,40,1,30,1,40,0,yellow
481,78,1,46,1,78,0,yellow
482,47,1,47,2,27,0,yellow
483,42,1,31,1,42,0,yellow
484,39,1,14,2,39,0,yellow
485,37,1,30,1,37,0,yellow
486,50,1,23,0,50,0,yellow
487,190,2,98,1,190,1,red
488,62,1,18,13,62,0,yellow
489,152,0,29,0,152,1,red
490,56,1,31,0,56,0,yellow
491,145,2,145,3,82,1,red
492,292,3,136,3,292,2,black
493,20,0,14,0,20,0,yellow
494,153,0,29,0,153,1,red
495,25,0,9,1,25,0,yellow
496,38,1,19,2,38,0,yellow
497,158,0,25,0,158,1,red
498,34,1,34,0,10,0,yellow
499,46,1,29,0,46,0,yellow
500,173,3,159,1,173,1,red
501,44,1,33,0,44,0,yellow
502,39,1,39,0,12,0,yellow
503,101,3,18,2,101,0,yellow
504,37,1,37,0,30,0,yellow
505,60,1,22,3,60,0,yellow
506,23,0,17,0,23,0,yellow
507,93,1,24,5,93,0,yellow
508,28,1,28,8,25,0,yellow
509,91,2,22,3,91,0,yellow
510,39,1,22,1,39,0,yellow
511,66,1,10,5,66,0,yellow
512,6,0,5,0,6,0,yellow
513,44,1,27,10,44,0,yellow
514,153,3,153,1,152,1,red
515,42,1,42,0,12,0,yellow
516,62,1,32,4,62,0,yellow
517,35,1,22,6,35,0,yellow
518,27,1,25,3,27,0,yellow
519,19,0,18,0,19,0,yellow
520,198,3,91,3,198,1,red
521,175,1,51,1,175,1,red
522,33,1,33,1,28,0,yellow
523,194,1,46,0,194,1,red
524,500,1,47,1,500,2,black
525,37,1,3,3,37,0,yellow
526,30,0,30,2,27,0,yellow
527,61,1,10,16,61,0,yellow
528,32,1,24,3,32,0,yellow
529,84,1,45,0,84,0,yellow
530,33,1,33,1,21,0,yellow
531,44,1,44,0,15,0,yellow
532,68,1,39,1,68,0,yellow
533,57,2,21,11,57,0,yellow
534,29,1,29,2,27,0,yellow
535,35,1,22,1,35,0,yellow
536,37,1,21,4,37,0,yellow
537,76,3,8,1,76,0,yellow
538,90,3,46,3,90,0,yellow
539,34,1,26,9,34,0,yellow
540,65,1,30,1,65,0,yellow
541,29,0,28,2,29,0,yellow
542,37,1,27,8,37,0,yellow
543,72,1,29,3,72,0,yellow
544,169,7,0,21,169,1,red
545,36,1,25,3,36,0,yellow
546,46,1,37,2,46,0,yellow
547,71,1,71,3,49,0,yellow
548,29,0,29,2,26,0,yellow
549,77,1,43,6,77,0,yellow
550,48,0,24,0,48,0,yellow
551,57,1,19,10,57,0,yellow
552,53,1,38,2,53,0,yellow
553,30,0,25,3,30,0,yellow
554,31,0,30,1,31,0,yellow
555,27,0,19,0,27,0,yellow
556,30,0,28,2,30,0,yellow
557,120,1,30,0,120,1,red
558,25,0,24,2,25,0,yellow
559,57,2,22,14,57,0,yellow
560,66,1,28,1,66,0,yellow
561,70,1,21,0,70,0,yellow
562,105,1,49,0,105,1,red
563,12,1,12,0,11,0,yellow
564,25,0,25,0,12,0,yellow
565,129,0,30,0,129,1,red
566,32,1,27,3,32,0,yellow
567,42,1,28,0,42,0,yellow
568,34,1,13,1,34,0,yellow
569,60,2,8,4,60,0,yellow
570,33,0,33,1,26,0,yellow
571,37,1,12,13,37,0,yellow
572,50,1,20,0,50,0,yellow
573,46,1,26,2,46,0,yellow
574,31,0,28,1,31,0,yellow
575,95,9,95,0,46,0,yellow
576,192,4,192,6,124,1,red
577,49,1,24,2,49,0,yellow
578,31,0,31,2,31,0,yellow
579,34,0,29,3,34,0,yellow
580,32,0,27,3,32,0,yellow
581,100,1,16,0,100,0,yellow
582,176,2,21,3,176,1,red
583,35,1,20,3,35,0,yellow
584,32,1,32,1,28,0,yellow
585,98,2,47,0,98,0,yellow
586,32,1,29,0,32,0,yellow
587,164,1,35,0,164,1,red
588,61,1,29,1,61,0,yellow
589,16,1,12,0,16,0,yellow
590,167,1,49,1,167,1,red
591,117,4,14,7,117,1,red
592,56,1,25,2,56,0,yellow
593,50,0,23,0,50,0,yellow
594,119,1,35,0,119,1,red
595,180,1,45,0,180,1,red
596,171,1,36,0,171,1,red
597,434,1,53,1,362,2,black
598,53,1,18,14,53,0,yellow
599,50,1,24,11,50,0,yellow
600,40,1,26,3,40,0,yellow
601,55,1,19,0,55,0,yellow
602,34,1,18,1,34,0,yellow
603,172,3,172,5,145,1,red
604,69,1,22,6,69,0,yellow
605,38,0,38,0,34,0,yellow
606,184,1,39,1,184,1,red
607,74,2,23,1,74,0,yellow
608,118,1,17,4,118,1,red
609,52,1,52,1,36,0,yellow
610,500,1,73,1,500,2,black
611,30,0,30,1,25,0,yellow
612,207,4,207,3,150,1,red
613,35,0,28,2,35,0,yellow
614,34,0,28,2,34,0,yellow
615,73,2,35,8,73,0,yellow
616,38,1,38,0,20,0,yellow
617,70,0,22,0,70,0,yellow
618,40,1,40,1,24,0,yellow
619,500,1,43,0,443,2,black
620,28,0,27,2,28,0,yellow
621,52,1,27,12,52,0,yellow
622,70,2,20,20,70,0,yellow
623,33,0,33,0,5,0,yellow
624,59,1,59,1,23,0,yellow
625,30,0,30,1,24,0,yellow
626,169,4,169,3,150,1,red
627,45,1,45,0,16,0,yellow
628,44,1,44,0,22,0,yellow
629,61,1,27,11,61,0,yellow
630,58,0,21,0,58,0,yellow
631,44,1,44,0,32,0,yellow
632,18,0,18,0,6,0,yellow
633,65,0,22,0,65,0,yellow
634,20,0,20,0,20,0,yellow
635,31,0,31,0,30,0,yellow
636,138,3,138,2,112,1,red
637,39,1,19,1,39,0,yellow
638,44,0,17,0,44,0,yellow
639,74,1,74,1,35,0,yellow
640,51,0,23,0,51,0,yellow
641,125,5,16,2,125,1,red
642,95,0,22,0,95,0,yellow
643,500,1,40,0,376,2,black
644,40,1,30,8,40,0,yellow
645,108,0,23,0,108,1,red
646,72,0,19,0,72,0,yellow
647,75,1,37,1,75,0,yellow
648,20,0,14,0,20,0,yellow
649,64,1,41,0,64,0,yellow
650,37,1,37,0,30,0,yellow
651,40,0,21,1,40,0,yellow
652,35,1,35,0,15,0,yellow
653,59,1,30,3,59,0,yellow
654,48,1,48,0,35,0,yellow
655,104,0,22,0,104,0,yellow
656,30,1,30,0,10,0,yellow
657,50,1,23,4,50,0,yellow
658,32,1,32,1,29,0,yellow
659,42,1,32,0,42,0,yellow
660,46,1,21,4,46,0,yellow
661,230,5,130,9,230,1,red
662,39,1,39,0,20,0,yellow
663,72,1,28,2,72,0,yellow
664,59,2,6,0,59,0,yellow
665,69,0,26,0,69,0,yellow
666,78,1,38,0,78,0,yellow
667,29,1,28,0,29,0,yellow
668,34,1,34,1,24,0,yellow
669,36,1,26,2,36,0,yellow
670,30,0,30,1,27,0,yellow
671,52,1,36,1,52,0,yellow
672,74,0,24,0,74,0,yellow
673,48,1,33,1,48,0,yellow
674,54,0,21,0,54,0,yellow
675,33,1,33,0,9,0,yellow
676,61,0,21,0,61,0,yellow
677,37,1,8,3,37,0,yellow
678,60,1,30,6,60,0,yellow
679,55,2,5,4,55,0,yellow
680,58,2,14,19,58,0,yellow
681,17,1,17,0,12,0,yellow
682,34,0,15,2,34,0,yellow
683,41,0,28,2,41,0,yellow
684,31,1,15,1,31,0,yellow
685,24,1,8,0,24,0,yellow
686,78,1,78,3,51,0,yellow
687,43,1,43,0,30,0,yellow
688,390,1,54,1,335,2,black
689,150,1,30,0,150,1,red
690,159,6,16,5,159,1,red
691,31,1,31,2,25,0,yellow
692,116,2,116,0,64,0,yellow
693,84,2,10,1,84,0,yellow
694,16,0,16,0,16,0,yellow
695,28,0,14,1,28,0,yellow
696,59,1,31,0,59,0,yellow
697,51,1,34,1,51,0,yellow
698,36,1,17,3,36,0,yellow
699,139,1,31,0,139,1,red
700,500,1,49,1,493,2,black
701,174,1,59,1,174,1,red
702,156,5,124,10,156,1,red
703,162,10,79,25,162,1,red
704,95,2,9,9,95,0,yellow
705,130,1,31,0,130,1,red
706,93,2,51,2,93,0,yellow
707,43,1,30,3,43,0,yellow
708,34,1,23,3,34,0,yellow
709,171,6,10,3,171,1,red
710,95,2,79,0,95,0,yellow
711,32,1,32,0,24,0,yellow
712,500,2,95,2,478,2,black
713,59,1,32,0,59,0,yellow
714,24,1,24,0,19,0,yellow
715,78,1,36,1,78,0,yellow
716,59,1,27,0,59,0,yellow
717,135,2,135,1,86,1,red
718,500,3,53,8,500,2,black
719,30,1,30,2,14,0,yellow
720,201,3,201,4,142,1,red
721,84,1,40,1,84,0,yellow
722,23,1,21,0,23,0,yellow
723,168,3,168,2,146,1,red
724,144,1,36,0,144,1,red
725,38,1,37,1,38,0,yellow
726,75,1,75,1,34,0,yellow
727,54,1,6,14,54,0,yellow
728,65,1,27,2,65,0,yellow
729,39,1,23,5,39,0,yellow
730,37,1,31,5,37,0,yellow
731,36,0,20,1,36,0,yellow
732,53,1,31,6,53,0,yellow
733,112,1,29,2,112,1,red
734,130,0,31,0,130,1,red
735,40,1,40,2,23,0,yellow
736,59,1,37,6,59,0,yellow
737,29,1,29,2,17,0,yellow
738,62,2,17,0,62,0,yellow
739,79,2,36,0,79,0,yellow
740,65,2,23,1,65,0,yellow
741,19,0,19,0,19,0,yellow
742,57,1,57,1,53,0,yellow
743,44,1,35,2,44,0,yellow
744,78,1,31,0,78,0,yellow
745,56,1,25,1,56,0,yellow
746,171,2,20,3,171,1,red
747,121,4,7,8,121,1,red
748,14,1,14,0,3,0,yellow
749,95,1,23,10,95,0,yellow
750,52,1,33,3,52,0,yellow
751,67,1,36,2,67,0,yellow
752,34,0,34,2,32,0,yellow
753,72,1,42,1,72,0,yellow
754,47,1,7,1,47,0,yellow
755,22,0,19,0,22,0,yellow
756,41,0,11,0,41,0,yellow
757,178,4,178,2,170,1,red
758,159,2,134,1,159,1,red
759,89,2,33,5,89,0,yellow
760,155,3,91,2,155,1,red
761,36,1,36,0,28,0,yellow
762,70,1,23,2,70,0,yellow
763,32,1,32,2,32,0,yellow
764,62,1,17,7,62,0,yellow
765,61,1,39,1,61,0,yellow
766,142,3,48,2,142,1,red
767,40,1,29,3,40,0,yellow
768,30,1,19,4,30,0,yellow
769,73,0,24,0,73,0,yellow
770,104,1,34,6,104,0,yellow
771,51,1,23,4,51,0,yellow
772,59,1,21,1,59,0,yellow
773,106,2,28,8,106,1,red
774,140,0,29,0,140,1,red
775,334,3,113,3,326,2,black
776,92,2,34,1,92,0,yellow
777,118,2,27,2,118,1,red
778,54,1,54,2,18,0,yellow
779,164,3,164,1,138,1,red
780,195,1,36,0,195,1,red
781,62,2,34,1,62,0,yellow
782,52,1,40,0,52,0,yellow
783,33,0,33,0,32,0,yellow
784,54,2,30,11,54,0,yellow
785,31,0,31,2,21,0,yellow
786,50,1,22,7,50,0,yellow
787,53,1,36,1,53,0,yellow
788,44,1,44,1,16,0,yellow
789,37,1,35,0,37,0,yellow
790,54,1,30,3,54,0,yellow
