,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,clusters,cluster
12394,57,2,28,6,57,0,yellow
12395,145,1,30,1,145,1,red
12396,34,1,34,1,15,0,yellow
12397,190,1,51,0,190,1,red
12398,61,1,24,1,61,0,yellow
12399,28,0,28,2,21,0,yellow
12400,71,2,7,6,71,0,yellow
12401,57,2,17,0,57,0,yellow
12402,54,2,9,5,54,0,yellow
12403,65,2,6,5,65,0,yellow
12404,55,1,31,1,55,0,yellow
12405,55,1,24,0,55,0,yellow
12406,76,2,10,8,76,0,yellow
12407,77,1,39,0,77,0,yellow
12408,28,0,14,0,28,0,yellow
12409,46,1,16,3,46,0,yellow
12410,156,1,36,0,156,1,red
12411,48,1,25,3,48,0,yellow
12412,195,4,195,3,161,1,red
12413,166,2,166,5,150,1,red
12414,142,4,142,2,100,1,red
12415,41,1,37,1,41,0,yellow
12416,44,1,36,0,44,0,yellow
12417,33,1,12,1,33,0,yellow
12418,60,1,24,3,60,0,yellow
12419,51,1,36,3,51,0,yellow
12420,107,3,6,12,107,0,yellow
12421,141,8,16,7,141,1,red
12422,53,1,6,1,53,0,yellow
12423,44,1,44,3,37,0,yellow
12424,36,0,36,0,34,0,yellow
12425,72,0,23,0,72,0,yellow
12426,53,1,37,1,53,0,yellow
12427,36,2,36,3,28,0,yellow
12428,34,0,34,1,32,0,yellow
12429,184,1,39,0,184,1,red
12430,140,1,33,0,140,1,red
12431,76,2,41,0,76,0,yellow
12432,36,1,36,1,25,0,yellow
12433,59,1,45,0,59,0,yellow
12434,43,0,28,0,43,0,yellow
12435,39,1,39,2,13,0,yellow
12436,165,3,165,1,156,1,red
12437,56,1,13,18,56,0,yellow
12438,24,1,24,2,16,0,yellow
12439,46,1,41,1,46,0,yellow
12440,41,1,17,0,41,0,yellow
12441,78,2,12,12,78,0,yellow
12442,25,0,23,1,25,0,yellow
12443,28,1,28,1,16,0,yellow
12444,36,1,36,0,13,0,yellow
12445,107,1,48,0,107,1,red
12446,74,1,46,0,74,0,yellow
12447,49,1,26,3,49,0,yellow
12448,71,1,5,3,71,0,yellow
