,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,clusters
14830,Germany,Henstedt Ulzburg,33,Good,0,Good,33,Good,1,Good,14,Good,0
14831,Myanmar,Henzada,50,Good,0,Good,23,Good,0,Good,50,Good,0
14832,France,Fort De France,136,Unhealthy for Sensitive Groups,1,Good,26,Good,0,Good,136,Unhealthy for Sensitive Groups,2
14833,United States of America,Fortuna,37,Good,1,Good,27,Good,4,Good,37,Good,0
14834,Cameroon,Fundong,97,Moderate,3,Good,12,Good,1,Good,97,Moderate,0
14835,Japan,Funehiki,40,Good,1,Good,40,Good,1,Good,26,Good,0
14836,Turkmenistan,Gazanjyk,127,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,127,Unhealthy for Sensitive Groups,2
14837,Germany,Gemunden,66,Moderate,1,Good,37,Good,3,Good,66,Moderate,0
14838,Mexico,Huixquilucan,167,Unhealthy,5,Good,5,Good,19,Good,167,Unhealthy,2
14839,Greece,Ialisos,66,Moderate,1,Good,47,Good,0,Good,66,Moderate,0
14840,Brazil,Ibipeba,14,Good,0,Good,14,Good,0,Good,12,Good,0
14841,Japan,Hikari,41,Good,1,Good,41,Good,1,Good,37,Good,0
14842,Honduras,Cofradia,74,Moderate,1,Good,8,Good,3,Good,74,Moderate,0
14843,Portugal,Coimbra,27,Good,1,Good,27,Good,3,Good,23,Good,0
14844,United States of America,Commack,98,Moderate,5,Good,8,Good,39,Good,98,Moderate,0
14845,Mexico,Cosamaloapan,88,Moderate,2,Good,21,Good,4,Good,88,Moderate,0
14846,Brazil,Cotia,169,Unhealthy,6,Good,1,Good,20,Good,169,Unhealthy,2
14847,Brazil,Coxim,53,Moderate,1,Good,6,Good,1,Good,53,Moderate,0
14848,United States of America,Cullman,75,Moderate,2,Good,34,Good,6,Good,75,Moderate,0
14849,Italy,Cuorgne,135,Unhealthy for Sensitive Groups,3,Good,21,Good,5,Good,135,Unhealthy for Sensitive Groups,2
14850,Côte d'Ivoire,Dabakala,35,Good,1,Good,18,Good,0,Good,35,Good,0
14851,India,Chatrapur,139,Unhealthy for Sensitive Groups,2,Good,48,Good,1,Good,139,Unhealthy for Sensitive Groups,2
14852,India,Chhoti Sadri,192,Unhealthy,1,Good,35,Good,0,Good,192,Unhealthy,2
14853,Czechia,Chodov,66,Moderate,1,Good,41,Good,2,Good,66,Moderate,0
14854,Thailand,Chon Daen,34,Good,0,Good,24,Good,0,Good,34,Good,0
14855,Spain,Cieza,31,Good,1,Good,31,Good,1,Good,23,Good,0
14856,India,Khatima,151,Unhealthy,3,Good,136,Unhealthy for Sensitive Groups,0,Good,151,Unhealthy,2
14857,Poland,Kielce,79,Moderate,1,Good,36,Good,1,Good,79,Moderate,0
14858,Greece,Kilkis,74,Moderate,1,Good,46,Good,1,Good,74,Moderate,0
14859,Azerbaijan,Kirovskiy,51,Moderate,1,Good,41,Good,0,Good,51,Moderate,0
14860,Bangladesh,Kishorganj,66,Moderate,3,Good,45,Good,3,Good,66,Moderate,0
14861,Finland,Kokkola,29,Good,1,Good,29,Good,2,Good,18,Good,0
14862,Netherlands,Kollumerland,34,Good,0,Good,34,Good,0,Good,15,Good,0
14863,Japan,Konosu,31,Good,1,Good,31,Good,4,Good,21,Good,0
14864,Germany,Korntal Munchingen,52,Moderate,2,Good,28,Good,6,Good,52,Moderate,0
14865,Palau,Koror,16,Good,0,Good,16,Good,0,Good,7,Good,0
14866,India,Kotagiri,27,Good,0,Good,21,Good,0,Good,27,Good,0
14867,India,Kotma,180,Unhealthy,2,Good,59,Moderate,0,Good,180,Unhealthy,2
14868,Malaysia,Kuala Perlis,67,Moderate,2,Good,61,Moderate,0,Good,67,Moderate,0
14869,Russian Federation,Kulunda,34,Good,1,Good,34,Good,0,Good,30,Good,0
14870,Republic of North Macedonia,Kumanovo,53,Moderate,1,Good,36,Good,1,Good,53,Moderate,0
14871,Germany,Kunzell,66,Moderate,1,Good,41,Good,1,Good,66,Moderate,0
14872,Croatia,Kutina,63,Moderate,1,Good,32,Good,1,Good,63,Moderate,0
14873,Spain,La Orotava,41,Good,0,Good,41,Good,0,Good,13,Good,0
14874,Germany,Lage,35,Good,1,Good,35,Good,1,Good,35,Good,0
14875,United States of America,Lake City,56,Moderate,1,Good,17,Good,5,Good,56,Moderate,0
14876,Thailand,Lampang,34,Good,0,Good,23,Good,1,Good,34,Good,0
14877,Iran (Islamic Republic of),Langarud,141,Unhealthy for Sensitive Groups,1,Good,41,Good,1,Good,141,Unhealthy for Sensitive Groups,2
14878,Germany,Langenau,47,Good,1,Good,36,Good,3,Good,47,Good,0
14879,France,Laon,59,Moderate,1,Good,28,Good,3,Good,59,Moderate,0
14880,Germany,Lauf,52,Moderate,1,Good,45,Good,2,Good,52,Moderate,0
14881,Suriname,Lelydorp,44,Good,1,Good,18,Good,0,Good,44,Good,0
14882,Serbia,Leskovac,50,Good,1,Good,35,Good,0,Good,50,Good,0
14883,Germany,Leutenbach,50,Good,1,Good,38,Good,4,Good,50,Good,0
14884,Netherlands,Schijndel,32,Good,1,Good,32,Good,2,Good,25,Good,0
14885,Belgium,Schoten,34,Good,1,Good,29,Good,4,Good,34,Good,0
14886,Israel,Sederot,65,Moderate,1,Good,49,Good,2,Good,65,Moderate,0
14887,India,Sehore,196,Unhealthy,1,Good,37,Good,0,Good,196,Unhealthy,2
14888,Russian Federation,Severouralsk,31,Good,1,Good,31,Good,0,Good,3,Good,0
14889,United States of America,Shafter,53,Moderate,2,Good,18,Good,11,Good,53,Moderate,0
14890,China,Shuangyang,86,Moderate,3,Good,86,Moderate,1,Good,65,Moderate,0
14891,Russian Federation,Sibay,36,Good,1,Good,36,Good,0,Good,25,Good,0
